date_found,company,title,location,url,source,posted_at,active,match_score
2026-08-23,WSP,Senior Consultant - Project Management,"Noida, Ghaziabad",https://www.adzuna.in/details/5849703865,adzuna,2026-08-20,yes,
2026-08-23,Tesslogs IT Solutions,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5852477091,adzuna,2026-08-22,yes,
2026-08-23,Tata Consultancy Services,Technical Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5845826636,adzuna,2026-08-18,yes,
2026-08-23,"NTT America, Inc.",Business Analyst,"Delhi, India",https://www.adzuna.in/details/5852146277,adzuna,2026-08-22,yes,
2026-08-23,Labcorp,Lead Clinical Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5852143113,adzuna,2026-08-22,yes,
2026-08-23,JF Biogas,Project Manager -CBG Projects,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5852477124,adzuna,2026-08-22,yes,
2026-08-23,Dynamics Monk Consulting Services,Project Manager,"Delhi, India",https://www.adzuna.in/land/ad/5852477454,adzuna,2026-08-22,yes,
2026-08-23,ABB,Associate Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5852164465,adzuna,2026-08-22,yes,
2026-08-22,Zodopt Technology | Zoho Premium Partner,Zoho Sales Manager and Zoho Project Delivery Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5850982602,adzuna,2026-08-21,yes,
2026-08-22,WSP USA,Assistant Consultant - Project Coordination,"Bangalore, Karnataka",https://www.adzuna.in/details/5850637073,adzuna,2026-08-21,yes,
